timestep,message
19,"LoadShed: odłączono industrial (priorytet 2, 30.0 MW)"
1781010522,Predictor: zmiana mocy OZE o -1.8 MW w ciągu 5 kroków
19,"LoadShed: odłączono critical (priorytet 1, 8.0 MW)"
19,"[Pogoda] Wiatr: 0.0 km/h | Słońce: 79%
[Produkcja] OZE: 0.0 MW | Konwencjonalna: 0.0 MW | Baterie: 0% (SoC)
[Sieć] Popyt: 48.0 MW | Bilans: 0.0 MW | Stan: CRITICAL"
18,critical: przydzielono 0.00 / 8.00 MW [LoadShed]
18,residential: przydzielono 0.00 / 10.00 MW [LoadShed]
18,industrial: przydzielono 0.00 / 30.00 MW [LoadShed]
1781010522,Predictor: zmiana mocy OZE o 0.9 MW w ciągu 5 kroków
20,"LoadShed: odłączono residential (priorytet 3, 10.0 MW)"
20,"LoadShed: odłączono industrial (priorytet 2, 5.0 MW)"
20,"LoadShed: odłączono critical (priorytet 1, 8.0 MW)"
20,"[Pogoda] Wiatr: 0.5 km/h | Słońce: 81%
[Produkcja] OZE: 0.0 MW | Konwencjonalna: 0.0 MW | Baterie: 0% (SoC)
[Sieć] Popyt: 23.0 MW | Bilans: 0.0 MW | Stan: CRITICAL"
19,critical: przydzielono 0.00 / 8.00 MW [LoadShed]
19,residential: przydzielono 0.00 / 10.00 MW [LoadShed]
19,industrial: przydzielono 0.00 / 5.00 MW [LoadShed]
21,"LoadShed: odłączono residential (priorytet 3, 10.0 MW)"
21,"LoadShed: odłączono industrial (priorytet 2, 5.0 MW)"
21,"LoadShed: odłączono critical (priorytet 1, 8.0 MW)"
21,"[Pogoda] Wiatr: 3.1 km/h | Słońce: 84%
[Produkcja] OZE: 0.9 MW | Konwencjonalna: 0.0 MW | Baterie: 0% (SoC)
[Sieć] Popyt: 23.0 MW | Bilans: 0.9 MW | Stan: CRITICAL"
20,critical: przydzielono 0.00 / 8.00 MW [LoadShed]
1781010523,Predictor: zmiana mocy OZE o 4.1 MW w ciągu 5 kroków
20,industrial: przydzielono 0.00 / 5.00 MW [LoadShed]
20,residential: przydzielono 0.00 / 10.00 MW [LoadShed]
1781010523,Predictor: zmiana mocy OZE o 1.7 MW w ciągu 5 kroków
22,"LoadShed: odłączono residential (priorytet 3, 10.0 MW)"
22,"LoadShed: odłączono industrial (priorytet 2, 5.0 MW)"
22,"LoadShed: odłączono critical (priorytet 1, 8.0 MW)"
22,"[Pogoda] Wiatr: 3.8 km/h | Słońce: 73%
[Produkcja] OZE: 1.4 MW | Konwencjonalna: 0.0 MW | Baterie: 0% (SoC)
[Sieć] Popyt: 23.0 MW | Bilans: 1.4 MW | Stan: CRITICAL"
21,critical: przydzielono 0.00 / 8.00 MW [LoadShed]
21,residential: przydzielono 0.00 / 10.00 MW [LoadShed]
21,industrial: przydzielono 0.00 / 5.00 MW [LoadShed]
1781010523,Predictor: zmiana mocy OZE o -0.7 MW w ciągu 5 kroków
23,"LoadShed: odłączono residential (priorytet 3, 10.0 MW)"
23,"LoadShed: odłączono industrial (priorytet 2, 5.0 MW)"
23,"LoadShed: odłączono critical (priorytet 1, 8.0 MW)"
23,"[Pogoda] Wiatr: 2.1 km/h | Słońce: 77%
[Produkcja] OZE: 0.1 MW | Konwencjonalna: 0.0 MW | Baterie: 0% (SoC)
[Sieć] Popyt: 23.0 MW | Bilans: 0.1 MW | Stan: CRITICAL"
22,critical: przydzielono 0.00 / 8.00 MW [LoadShed]
22,industrial: przydzielono 0.00 / 5.00 MW [LoadShed]
22,residential: przydzielono 0.00 / 10.00 MW [LoadShed]
1781010523,Predictor: zmiana mocy OZE o -1.0 MW w ciągu 5 kroków
24,"LoadShed: odłączono residential (priorytet 3, 3.0 MW)"
24,"LoadShed: odłączono industrial (priorytet 2, 5.0 MW)"
24,"LoadShed: odłączono critical (priorytet 1, 8.0 MW)"
